W,Q2,eps,phi,cos_th,cs,dcs
1.875,1.8,0.8128,-157.5,-0.525,11.49,2.992
1.875,1.8,0.8128,-112.5,-0.525,20.935,4.506
1.875,1.8,0.8128,-67.5,-0.525,26.588,5.447
1.875,1.8,0.8128,-22.5,-0.525,21.074,6.116
1.875,1.8,0.8128,22.5,-0.525,24.614,6.626
1.875,1.8,0.8128,67.5,-0.525,33.889,6.179
1.875,1.8,0.8128,112.5,-0.525,24.476,4.88
1.875,1.8,0.8128,157.5,-0.525,11.124,2.943
1.875,1.8,0.8128,-157.5,-0.3,20.236,4.155
1.875,1.8,0.8128,-112.5,-0.3,38.46,6.221
1.875,1.8,0.8128,-67.5,-0.3,40.852,5.96
1.875,1.8,0.8128,-22.5,-0.3,42.164,10.713
1.875,1.8,0.8128,22.5,-0.3,40.733,10.521
1.875,1.8,0.8128,67.5,-0.3,53.174,6.855
1.875,1.8,0.8128,112.5,-0.3,49.924,7.122
1.875,1.8,0.8128,157.5,-0.3,23.914,4.526
1.875,1.8,0.8128,-157.5,-0.1,31.103,4.483
1.875,1.8,0.8128,-112.5,-0.1,58.72,7.617
1.875,1.8,0.8128,-67.5,-0.1,60.276,6.619
1.875,1.8,0.8128,-22.5,-0.1,48.98,13.283
1.875,1.8,0.8128,22.5,-0.1,42.609,12.35
1.875,1.8,0.8128,67.5,-0.1,53.032,6.181
1.875,1.8,0.8128,112.5,-0.1,65.105,8.039
1.875,1.8,0.8128,157.5,-0.1,39.505,5.07
1.875,1.8,0.8128,-157.5,0.1,53.928,5.815
1.875,1.8,0.8128,-112.5,0.1,76.188,8.669
1.875,1.8,0.8128,-67.5,0.1,67.243,6.52
1.875,1.8,0.8128,-22.5,0.1,51.246,9.789
1.875,1.8,0.8128,22.5,0.1,37.44,8.324
1.875,1.8,0.8128,67.5,0.1,61.755,6.232
1.875,1.8,0.8128,112.5,0.1,87,9.295
1.875,1.8,0.8128,157.5,0.1,53.637,5.799
1.875,1.8,0.8128,-157.5,0.3,54.431,5.794
1.875,1.8,0.8128,-112.5,0.3,87.906,10.768
1.875,1.8,0.8128,-67.5,0.3,54.166,5.86
1.875,1.8,0.8128,-22.5,0.3,57.326,9.186
1.875,1.8,0.8128,22.5,0.3,54.341,8.936
1.875,1.8,0.8128,67.5,0.3,48.635,5.54
1.875,1.8,0.8128,112.5,0.3,78.292,10.14
1.875,1.8,0.8128,157.5,0.3,55.664,5.861
1.875,1.8,0.8128,-157.5,0.5,51.032,5.405
1.875,1.8,0.8128,-112.5,0.5,65.902,9.752
1.875,1.8,0.8128,-67.5,0.5,62.164,7.639
1.875,1.8,0.8128,-22.5,0.5,33.476,9.262
1.875,1.8,0.8128,22.5,0.5,50.683,11.437
1.875,1.8,0.8128,67.5,0.5,53.47,7.067
1.875,1.8,0.8128,112.5,0.5,60.016,9.295
1.875,1.8,0.8128,157.5,0.5,59.289,5.835
1.875,1.8,0.8128,-157.5,0.675,42.687,6.295
1.875,1.8,0.8128,-112.5,0.675,45.882,8.797
1.875,1.8,0.8128,-67.5,0.675,43.134,13.532
1.875,1.8,0.8128,-22.5,0.675,46.493,11.113
1.875,1.8,0.8128,22.5,0.675,31.744,9.154
1.875,1.8,0.8128,67.5,0.675,35.754,12.3
1.875,1.8,0.8128,112.5,0.675,43.222,8.535
1.875,1.8,0.8128,157.5,0.675,43.046,6.322
1.875,1.8,0.8128,-157.5,0.825,44.835,6.779
1.875,1.8,0.8128,-112.5,0.825,43.636,7.61
1.875,1.8,0.8128,-67.5,0.825,37.755,9.048
1.875,1.8,0.8128,-22.5,0.825,32.18,6.969
1.875,1.8,0.8128,22.5,0.825,33.119,7.071
1.875,1.8,0.8128,67.5,0.825,33.945,8.574
1.875,1.8,0.8128,112.5,0.825,34.538,6.764
1.875,1.8,0.8128,157.5,0.825,41.493,6.52
1.875,1.8,0.8128,-157.5,0.95,44.925,9.203
1.875,1.8,0.8128,-112.5,0.95,44.408,9.357
1.875,1.8,0.8128,-67.5,0.95,42.904,8.725
1.875,1.8,0.8128,-22.5,0.95,47.321,9.147
1.875,1.8,0.8128,22.5,0.95,31.212,7.413
1.875,1.8,0.8128,67.5,0.95,47.297,9.164
1.875,1.8,0.8128,112.5,0.95,43.685,9.28
1.875,1.8,0.8128,157.5,0.95,41.27,8.818
1.925,1.8,0.7996,-157.5,-0.775,3.419,2.141
1.925,1.8,0.7996,-112.5,-0.775,13.972,4.726
1.925,1.8,0.7996,-67.5,-0.775,12.539,5.151
1.925,1.8,0.7996,-22.5,-0.775,11.846,5.656
1.925,1.8,0.7996,22.5,-0.775,12.992,5.927
1.925,1.8,0.7996,67.5,-0.775,11.283,4.882
1.925,1.8,0.7996,112.5,-0.775,10.891,4.167
1.925,1.8,0.7996,157.5,-0.775,7.02,3.073
1.925,1.8,0.7996,-157.5,-0.525,10.945,2.576
1.925,1.8,0.7996,-112.5,-0.525,22.995,4.124
1.925,1.8,0.7996,-67.5,-0.525,26.939,5.224
1.925,1.8,0.7996,-22.5,-0.525,22.999,4.886
1.925,1.8,0.7996,22.5,-0.525,18.774,4.398
1.925,1.8,0.7996,67.5,-0.525,33.85,5.886
1.925,1.8,0.7996,112.5,-0.525,28.63,4.617
1.925,1.8,0.7996,157.5,-0.525,5.663,1.846
1.925,1.8,0.7996,-157.5,-0.3,18.035,3.672
1.925,1.8,0.7996,-112.5,-0.3,31.902,5.09
1.925,1.8,0.7996,-67.5,-0.3,31.128,5.137
1.925,1.8,0.7996,-22.5,-0.3,13.675,3.864
1.925,1.8,0.7996,22.5,-0.3,24.749,5.242
1.925,1.8,0.7996,67.5,-0.3,37.536,5.668
1.925,1.8,0.7996,112.5,-0.3,36.231,5.436
1.925,1.8,0.7996,157.5,-0.3,20.166,3.887
1.925,1.8,0.7996,-157.5,-0.1,32.697,4.425
1.925,1.8,0.7996,-112.5,-0.1,46.533,6.112
1.925,1.8,0.7996,-67.5,-0.1,51.563,6.075
1.925,1.8,0.7996,-22.5,-0.1,45.436,9.327
1.925,1.8,0.7996,22.5,-0.1,42.728,9.031
1.925,1.8,0.7996,67.5,-0.1,47.678,5.828
1.925,1.8,0.7996,112.5,-0.1,55.117,6.677
1.925,1.8,0.7996,157.5,-0.1,34.013,4.516
1.925,1.8,0.7996,-157.5,0.1,39.317,4.741
1.925,1.8,0.7996,-112.5,0.1,53.795,6.413
1.925,1.8,0.7996,-67.5,0.1,44.334,5.005
1.925,1.8,0.7996,-22.5,0.1,60.942,14.206
1.925,1.8,0.7996,22.5,0.1,36.18,10.85
1.925,1.8,0.7996,67.5,0.1,44.27,5.002
1.925,1.8,0.7996,112.5,0.1,60.065,6.791
1.925,1.8,0.7996,157.5,0.1,43.594,5.001
1.925,1.8,0.7996,-157.5,0.3,41.63,4.825
1.925,1.8,0.7996,-112.5,0.3,49.407,7.22
1.925,1.8,0.7996,-67.5,0.3,40.142,4.687
1.925,1.8,0.7996,-22.5,0.3,41.593,8.384
1.925,1.8,0.7996,22.5,0.3,29.06,6.983
1.925,1.8,0.7996,67.5,0.3,42.477,4.826
1.925,1.8,0.7996,112.5,0.3,53.208,7.499
1.925,1.8,0.7996,157.5,0.3,44.089,4.969
1.925,1.8,0.7996,-157.5,0.5,42.296,4.806
1.925,1.8,0.7996,-112.5,0.5,48.065,8.045
1.925,1.8,0.7996,-67.5,0.5,39.385,5.312
1.925,1.8,0.7996,-22.5,0.5,40.801,8.917
1.925,1.8,0.7996,22.5,0.5,35.151,8.267
1.925,1.8,0.7996,67.5,0.5,39.942,5.351
1.925,1.8,0.7996,112.5,0.5,44.169,7.706
1.925,1.8,0.7996,157.5,0.5,41.641,4.768
1.925,1.8,0.7996,-157.5,0.675,40.67,5.837
1.925,1.8,0.7996,-112.5,0.675,33.872,7.546
1.925,1.8,0.7996,-67.5,0.675,39.16,9.684
1.925,1.8,0.7996,-22.5,0.675,28.026,9.506
1.925,1.8,0.7996,22.5,0.675,42.653,11.756
1.925,1.8,0.7996,67.5,0.675,45.15,10.411
1.925,1.8,0.7996,112.5,0.675,50.819,9.267
1.925,1.8,0.7996,157.5,0.675,47.357,6.305
1.925,1.8,0.7996,-157.5,0.825,37.718,6.024
1.925,1.8,0.7996,-112.5,0.825,36.465,6.737
1.925,1.8,0.7996,-67.5,0.825,38.649,10.876
1.925,1.8,0.7996,-22.5,0.825,29.138,6.322
1.925,1.8,0.7996,22.5,0.825,23.806,5.71
